"ASV","s.Crohn's Disease","s.Healthy","s.Ulcerative Colitis","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"cd961ac611a323212c92980949aab9c4",0,1,0,2,0.661770551741233,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia",NA
"f170d8be1ae6795a2b0a1ce87ce27d54",0,1,0,2,0.532246968620082,0.005,"d__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"a71813e65bad94519fd46df6409ef29f",1,0,0,1,0.259047608995784,0.025,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Tepidimonas",NA
"b3c753df43b869224da0e6dc3a61f692",1,1,0,4,0.34663145121535,0.035,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae",NA,NA
"c20518d0ef0835b8a517591404ee7ad1",0,1,0,2,0.337917386283914,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__Victivallaceae","g__Victivallis",NA
"fd6d69bd46078b34e7dc16c99face57e",0,1,0,2,0.429166043192424,0.005,"d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__CAG-196",NA
"93978ac639eae2b038554c2991deb9df",0,1,0,2,0.179605302026775,0.045,"d__Bacteria","p__Bacillota","c__Incertae_Sedis","o__Incertae_Sedis","f__Incertae_Sedis","g__Incertae_Sedis",NA
"6f0f80fdff2024cbabb4b0c503c188c1",1,0,0,1,0.216920387871955,0.02,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Succiniclasticum",NA
"2b1c62c4b60b6efbf001646fe9cdfaf7",0,1,0,2,0.178382621941091,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae",NA,NA
"e818519212e76a6e38afa506e24f5191",0,1,0,2,0.207615710316447,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_sulci_group",NA
"30753be97d9d33c8c68f245f6c0466e1",0,1,0,2,0.473316689297883,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001",NA
"9045847e9f989fa38f4278f581039e98",0,1,0,2,0.307812268773045,0.005,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus",NA
"64b0e7d6f2d71691614a38a6dd4492e1",0,1,0,2,0.294774640327803,0.01,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Incertae_Sedis",NA
"483f8b965721828c938d75964fd98356",0,1,0,2,0.21997067253203,0.005,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Pyramidobacter",NA
"dd1a41d4dc7266f13e43c5e08626bb2e",1,1,0,4,0.226793689593809,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__UCG-011","g__Incertae_Sedis",NA
"cb9536fabbbd58ac90f2cce0837ff922",0,1,0,2,0.251119078230041,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003",NA
"dd2ac2ad82640c93dd949d89f8e80bd3",0,1,0,2,0.395149891739124,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Incertae_Sedis",NA
"6aebc468666745808ed23b91228f2950",0,1,0,2,0.175896403959132,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-873",NA
"1feacc16c7a1be4e3262bce03e1a8d46",0,1,0,2,0.179605302026775,0.04,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea",NA
