"ASV","s.Crohn's Disease","s.Healthy","s.Ulcerative Colitis","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"6d215b2671c1a2187ef2427f18a82846",1,0,1,5,0.326743884160513,0.02,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",NA
"146e9c861570575b2441bb4b8c084111",0,0,1,3,0.223719698892609,0.03,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Varibaculum",NA
"d71bb724a6718761da8420247c229804",0,0,1,3,0.462410643914831,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"3a051765f0113c0bf91582574f655b4b",0,0,1,3,0.402733622574845,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Hoylesella",NA
"43e44d8b2ddc76afa16d8cd0959f19f3",0,0,1,3,0.496279393157793,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Anaerococcus",NA
"cd961ac611a323212c92980949aab9c4",0,1,0,2,0.661770551741233,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia",NA
"f170d8be1ae6795a2b0a1ce87ce27d54",0,1,0,2,0.532246968620082,0.005,"d__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"a71813e65bad94519fd46df6409ef29f",1,0,0,1,0.259047608995784,0.025,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Tepidimonas",NA
"b3c753df43b869224da0e6dc3a61f692",1,1,0,4,0.34663145121535,0.035,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae",NA,NA
"c20518d0ef0835b8a517591404ee7ad1",0,1,0,2,0.337917386283914,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__Victivallaceae","g__Victivallis",NA
"940a7d4506d862de47cf7a4bedc854be",1,0,1,5,0.395344721409334,0.035,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Peptostreptococcus",NA
"fd6d69bd46078b34e7dc16c99face57e",0,1,0,2,0.429166043192424,0.005,"d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__CAG-196",NA
"93978ac639eae2b038554c2991deb9df",0,1,0,2,0.179605302026775,0.045,"d__Bacteria","p__Bacillota","c__Incertae_Sedis","o__Incertae_Sedis","f__Incertae_Sedis","g__Incertae_Sedis",NA
"6f0f80fdff2024cbabb4b0c503c188c1",1,0,0,1,0.216920387871955,0.02,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Succiniclasticum",NA
"dffb3692e74235c0c382111a836fb6f8",0,0,1,3,0.337099931231621,0.005,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Incertae_Sedis",NA
"0183545c455041fb037b8a5d88eeef17",1,0,1,5,0.343234957554502,0.045,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae",NA,NA
"c9540fb2d7585bd138bf03e8a4acbeee",0,0,1,3,0.282038037408883,0.005,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Negativicoccus",NA
"2b1c62c4b60b6efbf001646fe9cdfaf7",0,1,0,2,0.178382621941091,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae",NA,NA
"6fc5eb00e9c812c716d57654aac0158a",0,1,1,6,0.45174285650906,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus",NA
"9b2475c23443e3887c5964c3e9aadfa9",0,0,1,3,0.246757615274631,0.025,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Murdochiella",NA
"35d3f5184c7c7dd9f2b01f01c9b4b71a",0,1,1,6,0.76128969764348,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA
"e8490065adca23a9a435be45e3867b70",0,0,1,3,0.465967316840841,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Finegoldia",NA
"9a62352e67bc3dba8ad2fb7a5aec3774",0,0,1,3,0.51516239032745,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Peptoniphilus",NA
