"ASV","s.Crohn.s.Disease","s.Healthy","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"cd961ac611a323212c92980949aab9c4",0,1,2,0.745023448862318,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia",NA
"f170d8be1ae6795a2b0a1ce87ce27d54",0,1,2,0.603277266011587,0.005,"d__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"81e2a084fcf445b7d1fd24ce6af7c04f",1,0,1,0.607512812178881,0.035,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Veillonella",NA
"30753be97d9d33c8c68f245f6c0466e1",0,1,2,0.522235765396209,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Brotomerdimonas",NA
"a716b99232fa3a34ee30ae758b9216c1",0,1,2,0.7914288605385,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Beduinella",NA
"6a403960cabac26623171326c99f6c36",0,1,2,0.592321460199929,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter",NA
"9ac026abc5cec1d41ee044c1b874386c",0,1,2,0.504505339314012,0.01,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA
"f0ee86326610d8cf29bf4d38c45d69ab",0,1,2,0.606719576188154,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia",NA
"007f2738f882920803aab2320cbb613b",0,1,2,0.705787321098244,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Faecousia",NA
"0e6b48ffce8c52ae15a77ccd71ed5f31",0,1,2,0.592483142711408,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Pseudoruminococcus",NA
"99495cded0f8a661cd6b934be5cb28a5",0,1,2,0.651060073392114,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Hydrogenoanaerobacterium",NA
"e1fe724b4ea6ca6e7556fd032879f8c8",0,1,2,0.551849210443732,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella",NA
"42a8749495523917f1ff19114d6f374b",0,1,2,0.564740016269144,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Bifidobacterium",NA
"949d11292146e12904547a6db61ce024",0,1,2,0.842790011155522,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Laedolimicola",NA
"76b77cd1d964a78d9301628e3164a3d1",0,1,2,0.562501826735295,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella",NA
